package,version,file_out,functions,title,internal,all_urls
bioLeak,0.3.8,dlsi_p_value.html,"dlsi_p_value,LeakDeltaLSI-method",Sign-flip p-value from a LeakDeltaLSI,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dlsi_repeats.html,dlsi_repeats,Per-repeat metric data frames from a LeakDeltaLSI,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dlsi_repeats.html,"dlsi_repeats,LeakDeltaLSI-method",Per-repeat metric data frames from a LeakDeltaLSI,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dlsi_robust.html,dlsi_robust,Huber-robust delta_lsi point estimate from a LeakDeltaLSI,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dlsi_robust.html,"dlsi_robust,LeakDeltaLSI-method",Huber-robust delta_lsi point estimate from a LeakDeltaLSI,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dlsi_tier.html,dlsi_tier,Inference tier from a LeakDeltaLSI,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dlsi_tier.html,"dlsi_tier,LeakDeltaLSI-method",Inference tier from a LeakDeltaLSI,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dot-bio_capture_provenance.html,.bio_capture_provenance,Capture session provenance information,TRUE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dot-circular_block_permute.html,.circular_block_permute,Circular block permutation indices,TRUE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dot-nb_corrected_var.html,.nb_corrected_var,Nadeau-Bengio corrected variance,TRUE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dot-permute_labels_factory.html,.permute_labels_factory,Restricted permutation label factory,TRUE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dot-quantile_break_cache.html,.quantile_break_cache,Quantile break cache for permutation stratification,TRUE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dot-stationary_bootstrap.html,.stationary_bootstrap,Stationary bootstrap indices,TRUE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,fit_metrics.html,fit_metrics,Per-fold metric data frame from a LeakFit,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,fit_metrics.html,"fit_metrics,LeakFit-method",Per-fold metric data frame from a LeakFit,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,fit_resample.html,fit_resample,Fit and evaluate with leakage guards over predefined splits,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,guard_ensure_levels.html,guard_ensure_levels,Ensure consistent categorical levels for guarded preprocessing,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,guard_fit.html,guard_fit,Fit leakage-safe preprocessing pipeline,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,guard_to_recipe.html,guard_to_recipe,Convert guard preprocessing steps to a recipes recipe,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,impute_guarded.html,impute_guarded,Leakage-safe data imputation via guarded preprocessing,FALSE,https://github.com/selcukorkmaz/bioLeak
