title,func,topic,url,package
Impute numeric data using the mean,step_impute_mean,<a href='https://recipes.tidymodels.org/reference/step_impute_mean.html' target='_blank'><tt>step_impute_mean</tt></a>,https://recipes.tidymodels.org/reference/step_impute_mean.html,recipes
Impute numeric data using the median,step_impute_median,<a href='https://recipes.tidymodels.org/reference/step_impute_median.html' target='_blank'><tt>step_impute_median</tt></a>,https://recipes.tidymodels.org/reference/step_impute_median.html,recipes
Impute numeric variables via a linear model,step_impute_linear,<a href='https://recipes.tidymodels.org/reference/step_impute_linear.html' target='_blank'><tt>step_impute_linear</tt></a>,https://recipes.tidymodels.org/reference/step_impute_linear.html,recipes
Impute via bagged trees,step_impute_bag,<a href='https://recipes.tidymodels.org/reference/step_impute_bag.html' target='_blank'><tt>step_impute_bag</tt></a>,https://recipes.tidymodels.org/reference/step_impute_bag.html,recipes
Impute via k-nearest neighbors,step_impute_knn,<a href='https://recipes.tidymodels.org/reference/step_impute_knn.html' target='_blank'><tt>step_impute_knn</tt></a>,https://recipes.tidymodels.org/reference/step_impute_knn.html,recipes
Indicate Recurrent Date Time Event,step_time_event,<a href='https://emilhvitfeldt.github.io/extrasteps/reference/step_time_event.html' target='_blank'><tt>step_time_event</tt></a>,https://emilhvitfeldt.github.io/extrasteps/reference/step_time_event.html,extrasteps
Indicator Variables via Feature Hashing,step_dummy_hash,<a href='https://textrecipes.tidymodels.org/reference/step_dummy_hash.html' target='_blank'><tt>step_dummy_hash</tt></a>,https://textrecipes.tidymodels.org/reference/step_dummy_hash.html,textrecipes
Inverse logit transformation,step_invlogit,<a href='https://recipes.tidymodels.org/reference/step_invlogit.html' target='_blank'><tt>step_invlogit</tt></a>,https://recipes.tidymodels.org/reference/step_invlogit.html,recipes
Inverse transformation,step_inverse,<a href='https://recipes.tidymodels.org/reference/step_inverse.html' target='_blank'><tt>step_inverse</tt></a>,https://recipes.tidymodels.org/reference/step_inverse.html,recipes
Isomap embedding,step_isomap,<a href='https://recipes.tidymodels.org/reference/step_isomap.html' target='_blank'><tt>step_isomap</tt></a>,https://recipes.tidymodels.org/reference/step_isomap.html,recipes
Kernel PCA signal extraction,step_kpca,<a href='https://recipes.tidymodels.org/reference/step_kpca.html' target='_blank'><tt>step_kpca</tt></a>,https://recipes.tidymodels.org/reference/step_kpca.html,recipes
K-Means Clustering Variable Reduction,step_kmeans,<a href='https://brian-j-smith.github.io/MachineShop' target='_blank'><tt>step_kmeans</tt></a>,https://brian-j-smith.github.io/MachineShop,MachineShop
K-Medoids Clustering Variable Selection,step_kmedoids,<a href='https://brian-j-smith.github.io/MachineShop' target='_blank'><tt>step_kmedoids</tt></a>,https://brian-j-smith.github.io/MachineShop,MachineShop
Lemmatization of Token Variables,step_lemma,<a href='https://textrecipes.tidymodels.org/reference/step_lemma.html' target='_blank'><tt>step_lemma</tt></a>,https://textrecipes.tidymodels.org/reference/step_lemma.html,textrecipes
Likelihood encoding using analytical formula,step_lencode,<a href='https://embed.tidymodels.org/reference/step_lencode.html' target='_blank'><tt>step_lencode</tt></a>,https://embed.tidymodels.org/reference/step_lencode.html,embed
Linear combination filter,step_lincomb,<a href='https://recipes.tidymodels.org/reference/step_lincomb.html' target='_blank'><tt>step_lincomb</tt></a>,https://recipes.tidymodels.org/reference/step_lincomb.html,recipes
Linear Components Variable Reduction,step_lincomp,<a href='https://brian-j-smith.github.io/MachineShop' target='_blank'><tt>step_lincomp</tt></a>,https://brian-j-smith.github.io/MachineShop,MachineShop
Log Interval Transformation for Constrained Interval Forecasting,step_log_interval,<a href='https://business-science.github.io/timetk/reference/step_log_interval.html' target='_blank'><tt>step_log_interval</tt></a>,https://business-science.github.io/timetk/reference/step_log_interval.html,timetk
Logarithmic transformation,step_log,<a href='https://recipes.tidymodels.org/reference/step_log.html' target='_blank'><tt>step_log</tt></a>,https://recipes.tidymodels.org/reference/step_log.html,recipes
Logit transformation,step_logit,<a href='https://recipes.tidymodels.org/reference/step_logit.html' target='_blank'><tt>step_logit</tt></a>,https://recipes.tidymodels.org/reference/step_logit.html,recipes
Missing Data Imputation for Time Series,step_ts_impute,<a href='https://business-science.github.io/timetk/reference/step_ts_impute.html' target='_blank'><tt>step_ts_impute</tt></a>,https://business-science.github.io/timetk/reference/step_ts_impute.html,timetk
